id,文章,問題,選項1,選項2,選項3,選項4,答案
699,看看日頭向西，人報王鄉紳下來了。趙老頭兒祖孫三代，早已等得心焦，吃喜酒的人，都要等著王鄉紳來到方才開席，大家餓了肚皮，亦正等的不耐煩。忽然聽說來了，賽如天上掉下來的一般，大家迎了出來。原來這王鄉紳坐的是轎車，還沒有走到門前，趙溫的爸爸搶上一步，把牲口攏住，帶至門前。王鄉紳下車，爺兒三個連忙打恭作揖，如同捧鳳凰似的捧了進來，在上首第一位坐下。,請問王鄉紳坐的是什麼？,馬車,跑車,驢子,轎車,
700,看看日頭向西，人報王鄉紳下來了。趙老頭兒祖孫三代，早已等得心焦，吃喜酒的人，都要等著王鄉紳來到方才開席，大家餓了肚皮，亦正等的不耐煩。忽然聽說來了，賽如天上掉下來的一般，大家迎了出來。原來這王鄉紳坐的是轎車，還沒有走到門前，趙溫的爸爸搶上一步，把牲口攏住，帶至門前。王鄉紳下車，爺兒三個連忙打恭作揖，如同捧鳳凰似的捧了進來，在上首第一位坐下。,請問吃喜酒的人要等著誰來到方才開席？,趙老頭兒,老三,王鄉紳,方必開,
701,看看身上的破衣，再看看身後的三匹脫毛的駱駝，他笑了笑。就憑四條這麼不體面的人與牲口，他想，居然能逃出危險，能又朝著太陽走路，真透著奇怪！不必再想誰是誰非了，一切都是天意，他以為。他放了心，緩緩的走著，自要老天保佑他，什麼也不必怕。走到什麼地方了？不想問了，雖然田間已有男女來作工。,請問身後有幾匹脫毛的駱駝？,一匹,兩匹,三匹,四匹,
702,看看身上的破衣，再看看身後的三匹脫毛的駱駝，他笑了笑。就憑四條這麼不體面的人與牲口，他想，居然能逃出危險，能又朝著太陽走路，真透著奇怪！不必再想誰是誰非了，一切都是天意，他以為。他放了心，緩緩的走著，自要老天保佑他，什麼也不必怕。走到什麼地方了？不想問了，雖然田間已有男女來作工。,請問哪裡已有男女來工作？,田間,城裡,市場,野外,
703,看看身上的破衣，再看看身後的三匹脫毛的駱駝，他笑了笑。就憑四條這麼不體面的人與牲口，他想，居然能逃出危險，能又朝著太陽走路，真透著奇怪！不必再想誰是誰非了，一切都是天意，他以為。他放了心，緩緩的走著，自要老天保佑他，什麼也不必怕。走到什麼地方了？不想問了，雖然田間已有男女來作工。,請問他朝著什麼走路？,星星,月亮,彩虹,太陽,
704,紅霞碎開，金光一道一道的射出，橫的是霞，直的是光，在天的東南角織成一部極偉大光華的蛛網：綠的田，樹，野草，都由暗綠變為發光的翡翠。老松的乾上染上了金紅，飛鳥的翅兒閃起金光，一切的東西都帶出笑意。祥子對著那片紅光要大喊幾聲，自從一被大兵拉去，他似乎沒看見過太陽，心中老在咒罵，頭老低著，忘了還有日月，忘了老天。現在，他自由的走著路，越走越光明，太陽給草葉的露珠一點兒金光，也照亮了祥子的眉發，照暖了他的心。,請問老松的幹上染上了什麼顏色？,金紅,金光,翡翠,深綠,
705,紅霞碎開，金光一道一道的射出，橫的是霞，直的是光，在天的東南角織成一部極偉大光華的蛛網：綠的田，樹，野草，都由暗綠變為發光的翡翠。老松的乾上染上了金紅，飛鳥的翅兒閃起金光，一切的東西都帶出笑意。祥子對著那片紅光要大喊幾聲，自從一被大兵拉去，他似乎沒看見過太陽，心中老在咒罵，頭老低著，忘了還有日月，忘了老天。現在，他自由的走著路，越走越光明，太陽給草葉的露珠一點兒金光，也照亮了祥子的眉發，照暖了他的心。,請問誰給草葉的露珠一點兒金光？,紅霞,太陽,日月,眉髮,
706,紅霞碎開，金光一道一道的射出，橫的是霞，直的是光，在天的東南角織成一部極偉大光華的蛛網：綠的田，樹，野草，都由暗綠變為發光的翡翠。老松的乾上染上了金紅，飛鳥的翅兒閃起金光，一切的東西都帶出笑意。祥子對著那片紅光要大喊幾聲，自從一被大兵拉去，他似乎沒看見過太陽，心中老在咒罵，頭老低著，忘了還有日月，忘了老天。現在，他自由的走著路，越走越光明，太陽給草葉的露珠一點兒金光，也照亮了祥子的眉發，照暖了他的心。,請問什麼的翅兒閃起金光？,蜘蛛,鴿子,野草,飛鳥,
707,紅霞碎開，金光一道一道的射出，橫的是霞，直的是光，在天的東南角織成一部極偉大光華的蛛網：綠的田，樹，野草，都由暗綠變為發光的翡翠。老松的乾上染上了金紅，飛鳥的翅兒閃起金光，一切的東西都帶出笑意。祥子對著那片紅光要大喊幾聲，自從一被大兵拉去，他似乎沒看見過太陽，心中老在咒罵，頭老低著，忘了還有日月，忘了老天。現在，他自由的走著路，越走越光明，太陽給草葉的露珠一點兒金光，也照亮了祥子的眉發，照暖了他的心。,請問樹、野草都由暗綠變為發光的什麼？,霞,金光,翡翠,紅霞,
708,原來居中是三間統廳，兩頭兩個房間，上頭也懸著一塊匾，是「崇恥堂」三個字，下面落的是汪鳴鑾的款。趙溫念過「墨卷」，曉得這汪鳴鑾就是那做「能自疆齋文稿」的柳門先生，他本是一代文宗，不覺肅然起敬。當中懸著一副御筆，寫的「龍虎」兩字，卻是石刻朱拓的，兩邊一副對聯，是閻丹初閻老先生的款；天然幾上一個古鼎、一個瓶、一面鏡子，居中一張方桌，兩旁八張椅子、四個茶幾。上面樑上，還有幾個像神像龕子的東西，紅漆描金，甚是好看。趙溫不認得是什麼東西，悄悄請教老前輩。王孝廉對他說：「這是盛『誥命軸子』的。」,請問柳門先生是誰？,王孝廉,趙溫,閻丹初,汪鳴鑾,
709,原來居中是三間統廳，兩頭兩個房間，上頭也懸著一塊匾，是「崇恥堂」三個字，下面落的是汪鳴鑾的款。趙溫念過「墨卷」，曉得這汪鳴鑾就是那做「能自疆齋文稿」的柳門先生，他本是一代文宗，不覺肅然起敬。當中懸著一副御筆，寫的「龍虎」兩字，卻是石刻朱拓的，兩邊一副對聯，是閻丹初閻老先生的款；天然幾上一個古鼎、一個瓶、一面鏡子，居中一張方桌，兩旁八張椅子、四個茶幾。上面樑上，還有幾個像神像龕子的東西，紅漆描金，甚是好看。趙溫不認得是什麼東西，悄悄請教老前輩。王孝廉對他說：「這是盛『誥命軸子』的。」,請問方桌兩旁有幾張椅子？,四張,八張,六張,十張,
710,原來居中是三間統廳，兩頭兩個房間，上頭也懸著一塊匾，是「崇恥堂」三個字，下面落的是汪鳴鑾的款。趙溫念過「墨卷」，曉得這汪鳴鑾就是那做「能自疆齋文稿」的柳門先生，他本是一代文宗，不覺肅然起敬。當中懸著一副御筆，寫的「龍虎」兩字，卻是石刻朱拓的，兩邊一副對聯，是閻丹初閻老先生的款；天然幾上一個古鼎、一個瓶、一面鏡子，居中一張方桌，兩旁八張椅子、四個茶幾。上面樑上，還有幾個像神像龕子的東西，紅漆描金，甚是好看。趙溫不認得是什麼東西，悄悄請教老前輩。王孝廉對他說：「這是盛『誥命軸子』的。」,請問誰念過墨卷？,趙溫,王孝廉,閻丹初,汪鳴鑾,
711,原來居中是三間統廳，兩頭兩個房間，上頭也懸著一塊匾，是「崇恥堂」三個字，下面落的是汪鳴鑾的款。趙溫念過「墨卷」，曉得這汪鳴鑾就是那做「能自疆齋文稿」的柳門先生，他本是一代文宗，不覺肅然起敬。當中懸著一副御筆，寫的「龍虎」兩字，卻是石刻朱拓的，兩邊一副對聯，是閻丹初閻老先生的款；天然幾上一個古鼎、一個瓶、一面鏡子，居中一張方桌，兩旁八張椅子、四個茶幾。上面樑上，還有幾個像神像龕子的東西，紅漆描金，甚是好看。趙溫不認得是什麼東西，悄悄請教老前輩。王孝廉對他說：「這是盛『誥命軸子』的。」,請問盛誥命軸子的東西是什麼漆的？,藍漆,黑漆,紅漆,金漆,
712,原來這方必開，前頭因為趙府上中了秀才，他已有心攀附，忙把自己第三個女孩子，託人做媒，許給趙溫的兄弟，所以這趙老頭兒趕著他叫親家。他定睛一看，見是太親翁，也不及登堂入室，便在大門外頭，當街爬下，繃冬繃冬的磕了三個頭。趙老頭兒還禮不迭，趕忙扶他起來。方必開一面撣著自己衣服上的泥，一面說道：「你老今後可相信咱的話了？咱從前常說，城裡鄉紳老爺們的眼力，是再不錯的。,請問方必開磕了幾個頭？,一個,兩個,三個,四個,
713,原來這方必開，前頭因為趙府上中了秀才，他已有心攀附，忙把自己第三個女孩子，託人做媒，許給趙溫的兄弟，所以這趙老頭兒趕著他叫親家。他定睛一看，見是太親翁，也不及登堂入室，便在大門外頭，當街爬下，繃冬繃冬的磕了三個頭。趙老頭兒還禮不迭，趕忙扶他起來。方必開一面撣著自己衣服上的泥，一面說道：「你老今後可相信咱的話了？咱從前常說，城裡鄉紳老爺們的眼力，是再不錯的。,請問方必開把女兒許給誰的兄弟？,王仁,趙溫,周王,陳仁,
714,原來這方必開，前頭因為趙府上中了秀才，他已有心攀附，忙把自己第三個女孩子，託人做媒，許給趙溫的兄弟，所以這趙老頭兒趕著他叫親家。他定睛一看，見是太親翁，也不及登堂入室，便在大門外頭，當街爬下，繃冬繃冬的磕了三個頭。趙老頭兒還禮不迭，趕忙扶他起來。方必開一面撣著自己衣服上的泥，一面說道：「你老今後可相信咱的話了？咱從前常說，城裡鄉紳老爺們的眼力，是再不錯的。,請問方必開把自己的第幾個女兒託人做媒？,第三個,第二個,第一個,第四個,
715,徐都老爺自己去開門，一看是胡理，把他喜的心花都開了，連忙請了進來，吩咐泡茶，拿水煙袋，又叫把煙燈點上。胡理未曾開口，徐都老爺已經把信取出，送到他面前。胡理將信從信殼裡取出，看了一遍。胡理一面套信殼，一面嘴裡說道：「真正想不到，就會變了卦。」徐都老爺聽了這話，一個悶雷，當是不成功，臉上顏色頓時改變，忙問：「怎麼了？可是不成功？」,請問胡理將信從哪裡取出？,信殼,信封,票夾,櫃子,
716,拿著兩包火柴，順著大道他往西直門走。沒走出多遠，他就覺出軟弱疲乏來了。可是他咬上了牙。他不能坐車，從哪方面看也不能坐車：一個鄉下人拿十裡八裡還能當作道兒嗎，況且自己是拉車的。這且不提，以自己的身量力氣而被這小小的一點病拿住，笑話；除非一交栽倒，再也爬不起來，他滿地滾也得滾進城去，決不服軟！,請問他不能坐什麼？,坐車,坐巴士,坐馬,坐轎子,
717,拿著兩包火柴，順著大道他往西直門走。沒走出多遠，他就覺出軟弱疲乏來了。可是他咬上了牙。他不能坐車，從哪方面看也不能坐車：一個鄉下人拿十裡八裡還能當作道兒嗎，況且自己是拉車的。這且不提，以自己的身量力氣而被這小小的一點病拿住，笑話；除非一交栽倒，再也爬不起來，他滿地滾也得滾進城去，決不服軟！,請問他拿著兩包什麼？,車子,食物,火柴,米,
718,拿著兩包火柴，順著大道他往西直門走。沒走出多遠，他就覺出軟弱疲乏來了。可是他咬上了牙。他不能坐車，從哪方面看也不能坐車：一個鄉下人拿十裡八裡還能當作道兒嗎，況且自己是拉車的。這且不提，以自己的身量力氣而被這小小的一點病拿住，笑話；除非一交栽倒，再也爬不起來，他滿地滾也得滾進城去，決不服軟！,請問順著大道他往哪裡走？,東直門,南直門,北直門,西直門,
719,拿著兩包火柴，順著大道他往西直門走。沒走出多遠，他就覺出軟弱疲乏來了。可是他咬上了牙。他不能坐車，從哪方面看也不能坐車：一個鄉下人拿十裡八裡還能當作道兒嗎，況且自己是拉車的。這且不提，以自己的身量力氣而被這小小的一點病拿住，笑話；除非一交栽倒，再也爬不起來，他滿地滾也得滾進城去，決不服軟！,請問他滿地滾也得滾進哪裡去？,鄉下,城,家,廟,
720,時候，老者的乾草似的灰發，臉上的泥，炭條似的手，和那個破帽頭與棉襖，都像發著點純潔的光，如同破廟裡的神像似的，雖然破碎，依然尊嚴。大家看著他，彷彿唯恐他走了。祥子始終沒言語，呆呆的立在那裡。聽到老車夫說肚子裡空，他猛的跑出去，飛也似又跑回來，手裡用塊白菜葉兒托著十個羊肉餡的包子。,請問誰拖著十個羊肉餡的包子？,老者,祥子,老車夫,虎妞,
721,時候，老者的乾草似的灰發，臉上的泥，炭條似的手，和那個破帽頭與棉襖，都像發著點純潔的光，如同破廟裡的神像似的，雖然破碎，依然尊嚴。大家看著他，彷彿唯恐他走了。祥子始終沒言語，呆呆的立在那裡。聽到老車夫說肚子裡空，他猛的跑出去，飛也似又跑回來，手裡用塊白菜葉兒托著十個羊肉餡的包子。,請問祥子用什麼拖著十個羊肉餡包子？,野薑花葉兒,白菜葉兒,荷葉兒,姑婆芋,
722,時候，老者的乾草似的灰發，臉上的泥，炭條似的手，和那個破帽頭與棉襖，都像發著點純潔的光，如同破廟裡的神像似的，雖然破碎，依然尊嚴。大家看著他，彷彿唯恐他走了。祥子始終沒言語，呆呆的立在那裡。聽到老車夫說肚子裡空，他猛的跑出去，飛也似又跑回來，手裡用塊白菜葉兒托著十個羊肉餡的包子。,請問老者的什麼像乾草？,臉,手,帽子,灰髮,
723,"偶爾過來輛汽車，燈光遠射，小雪粒在燈光裡帶著點黃亮，像灑著萬顆金砂。快到新華門那一帶，路本來極寬，加上薄雪，更教人眼寬神爽，而且一切都彷彿更嚴肅了些。""長安牌樓""，新華門的門樓，南海的紅牆，都戴上了素冠，配著朱柱紅牆，靜靜的在燈光下展示著故都的尊嚴。",請問什麼東西在燈光裡像撒著萬顆金砂？,汽車,燈光,小雪粒,灰雲,
724,"偶爾過來輛汽車，燈光遠射，小雪粒在燈光裡帶著點黃亮，像灑著萬顆金砂。快到新華門那一帶，路本來極寬，加上薄雪，更教人眼寬神爽，而且一切都彷彿更嚴肅了些。""長安牌樓""，新華門的門樓，南海的紅牆，都戴上了素冠，配著朱柱紅牆，靜靜的在燈光下展示著故都的尊嚴。",請問南海的牆是什麼顏色？,紅色,黃色,金色,白色,
725,"偶爾過來輛汽車，燈光遠射，小雪粒在燈光裡帶著點黃亮，像灑著萬顆金砂。快到新華門那一帶，路本來極寬，加上薄雪，更教人眼寬神爽，而且一切都彷彿更嚴肅了些。""長安牌樓""，新華門的門樓，南海的紅牆，都戴上了素冠，配著朱柱紅牆，靜靜的在燈光下展示著故都的尊嚴。",請問什麼使一切都更嚴肅了？,燈光,金砂,門樓,薄雪,
726,"偶爾過來輛汽車，燈光遠射，小雪粒在燈光裡帶著點黃亮，像灑著萬顆金砂。快到新華門那一帶，路本來極寬，加上薄雪，更教人眼寬神爽，而且一切都彷彿更嚴肅了些。""長安牌樓""，新華門的門樓，南海的紅牆，都戴上了素冠，配著朱柱紅牆，靜靜的在燈光下展示著故都的尊嚴。",請問在燈光下展示著故都的什麼？,嚴肅,尊嚴,神爽,素冠,
727,帶著鄉間小伙子的足壯與誠實，凡是以賣力氣就能吃飯的事他幾乎全作過了。可是，不久他就看出來，拉車是件更容易掙錢的事；作別的苦工，收入是有限的；拉車多著一些變化與機會，不知道在什麼時候與地點就會遇到一些多於所希望的報酬。自然，他也曉得這樣的機遇不完全出於偶然，而必須人與車都得漂亮精神，有貨可賣才能遇到識貨的人。,請問怎樣才能遇到識貨的人？,有錢,帥氣,有貨可賣,沒貨可賣,
728,帶著鄉間小伙子的足壯與誠實，凡是以賣力氣就能吃飯的事他幾乎全作過了。可是，不久他就看出來，拉車是件更容易掙錢的事；作別的苦工，收入是有限的；拉車多著一些變化與機會，不知道在什麼時候與地點就會遇到一些多於所希望的報酬。自然，他也曉得這樣的機遇不完全出於偶然，而必須人與車都得漂亮精神，有貨可賣才能遇到識貨的人。,請問什麼是件更容易掙錢的事？,唱歌,拉車,建築,清潔,
729,帶著鄉間小伙子的足壯與誠實，凡是以賣力氣就能吃飯的事他幾乎全作過了。可是，不久他就看出來，拉車是件更容易掙錢的事；作別的苦工，收入是有限的；拉車多著一些變化與機會，不知道在什麼時候與地點就會遇到一些多於所希望的報酬。自然，他也曉得這樣的機遇不完全出於偶然，而必須人與車都得漂亮精神，有貨可賣才能遇到識貨的人。,請問他把以賣什麼就能吃飯的事幾乎全做過了？,賣力氣,賣身體,賣時間,賣口才,
730,"曹氏夫婦去休息。高媽拿著藥瓶，跟出祥子來。到了他屋中，她把藥瓶放下，立在屋門口裡：""待會兒你自己抹抹吧。我說，為這點事不必那麼吃心。當初，有我老頭子活著的日子，我也是常辭工。一來是，我在外頭受累，他不要強，教我生氣。二來是，年輕氣兒粗，一句話不投緣，散！賣力氣掙錢，不是奴才；你有你的臭錢，我泥人也有個土性兒；老太太有個伺候不著！現在我可好多了，老頭子一死，我沒什麼掛念的了，脾氣也就好了點。",請問誰拿著藥瓶跟出祥子來？,曹氏夫婦,駱駝,高媽,老頭,
731,"曹氏夫婦去休息。高媽拿著藥瓶，跟出祥子來。到了他屋中，她把藥瓶放下，立在屋門口裡：""待會兒你自己抹抹吧。我說，為這點事不必那麼吃心。當初，有我老頭子活著的日子，我也是常辭工。一來是，我在外頭受累，他不要強，教我生氣。二來是，年輕氣兒粗，一句話不投緣，散！賣力氣掙錢，不是奴才；你有你的臭錢，我泥人也有個土性兒；老太太有個伺候不著！現在我可好多了，老頭子一死，我沒什麼掛念的了，脾氣也就好了點。",請問誰一死，高媽脾氣就好了點？,祥子,曹氏夫婦,駱駝,老頭子,
732,曹先生在個大學裡教幾點鐘功課。學校裡有個叫阮明的學生，一向跟曹先生不錯，時常來找他談談。曹先生是個社會主義者，阮明的思想更激烈，所以二人很說得來。不過，年紀與地位使他們有點小衝突：曹先生以教師的立場看，自己應當盡心的教書，而學生應當好好的交待功課，不能因為私人的感情而在成績上馬馬虎虎。,請問曹先生在哪裡教課？,小學,中學,高中,大學,
733,曹先生在個大學裡教幾點鐘功課。學校裡有個叫阮明的學生，一向跟曹先生不錯，時常來找他談談。曹先生是個社會主義者，阮明的思想更激烈，所以二人很說得來。不過，年紀與地位使他們有點小衝突：曹先生以教師的立場看，自己應當盡心的教書，而學生應當好好的交待功課，不能因為私人的感情而在成績上馬馬虎虎。,請問曹先生以什麼的立場看？,年紀,教師,地位,學生,
734,曹先生在個大學裡教幾點鐘功課。學校裡有個叫阮明的學生，一向跟曹先生不錯，時常來找他談談。曹先生是個社會主義者，阮明的思想更激烈，所以二人很說得來。不過，年紀與地位使他們有點小衝突：曹先生以教師的立場看，自己應當盡心的教書，而學生應當好好的交待功課，不能因為私人的感情而在成績上馬馬虎虎。,請問學生不能因為私人的什麼而在成績上馬馬虎虎？,年紀,地位,感情,激烈,
735,曹先生在個大學裡教幾點鐘功課。學校裡有個叫阮明的學生，一向跟曹先生不錯，時常來找他談談。曹先生是個社會主義者，阮明的思想更激烈，所以二人很說得來。不過，年紀與地位使他們有點小衝突：曹先生以教師的立場看，自己應當盡心的教書，而學生應當好好的交待功課，不能因為私人的感情而在成績上馬馬虎虎。,請問誰是個思想激烈的社會主義者？,阮明,曹先生,祥子,曹太太,
736,現在，他可以自由的看一眼了，可是他心中覺得這個景色有些可怕：那些灰冷的冰，微動的樹影，慘白的高塔，都寂寞的似乎要忽然的狂喊一聲，或狂走起來！就是腳下這座大白石橋，也顯著異常的空寂，特別的白淨，連燈光都有點淒涼。他不願再走，不願再看，更不願再陪著她；他真想一下子跳下去，頭朝下，砸破了冰，沈下去，像個死魚似的凍在冰裡。,請問下列何者並沒有似乎要忽然的狂喊一聲？,冰,樹影,高塔,大白石橋,
737,現在，他可以自由的看一眼了，可是他心中覺得這個景色有些可怕：那些灰冷的冰，微動的樹影，慘白的高塔，都寂寞的似乎要忽然的狂喊一聲，或狂走起來！就是腳下這座大白石橋，也顯著異常的空寂，特別的白淨，連燈光都有點淒涼。他不願再走，不願再看，更不願再陪著她；他真想一下子跳下去，頭朝下，砸破了冰，沈下去，像個死魚似的凍在冰裡。,請問他心中覺得這個景色有些如何？,自由,淒涼,可怕,寂寞,
738,現在，他可以自由的看一眼了，可是他心中覺得這個景色有些可怕：那些灰冷的冰，微動的樹影，慘白的高塔，都寂寞的似乎要忽然的狂喊一聲，或狂走起來！就是腳下這座大白石橋，也顯著異常的空寂，特別的白淨，連燈光都有點淒涼。他不願再走，不願再看，更不願再陪著她；他真想一下子跳下去，頭朝下，砸破了冰，沈下去，像個死魚似的凍在冰裡。,請問他想像什麼一樣凍在冰裡？,活魚,死魚,大白石橋,灰冷的冰,
739,現在，他可以自由的看一眼了，可是他心中覺得這個景色有些可怕：那些灰冷的冰，微動的樹影，慘白的高塔，都寂寞的似乎要忽然的狂喊一聲，或狂走起來！就是腳下這座大白石橋，也顯著異常的空寂，特別的白淨，連燈光都有點淒涼。他不願再走，不願再看，更不願再陪著她；他真想一下子跳下去，頭朝下，砸破了冰，沈下去，像個死魚似的凍在冰裡。,請問什麼看起來有點淒涼？,燈光,冰,樹影,高塔,
740,現在，他似乎看出來，一月只掙那麼些錢，而把所有的苦處都得受過來，連個小水筒也不許凍上，而必得在胸前抱著，自己的胸脯多麼寬，彷彿還沒有個小筒兒值錢。原先，他以為拉車是他最理想的事，由拉車他可以成家立業。現在他暗暗搖頭了。不怪虎妞欺侮他，他原來不過是個連小水筒也不如的人！,請問他以為什麼是他最理想的事？,小水桶,掙錢,拉車,搖頭,
741,現在，他似乎看出來，一月只掙那麼些錢，而把所有的苦處都得受過來，連個小水筒也不許凍上，而必得在胸前抱著，自己的胸脯多麼寬，彷彿還沒有個小筒兒值錢。原先，他以為拉車是他最理想的事，由拉車他可以成家立業。現在他暗暗搖頭了。不怪虎妞欺侮他，他原來不過是個連小水筒也不如的人！,請問他的胸脯彷彿還沒有什麼值錢？,車子,小筒兒,虎妞,電石燈,
742,現在，他似乎看出來，一月只掙那麼些錢，而把所有的苦處都得受過來，連個小水筒也不許凍上，而必得在胸前抱著，自己的胸脯多麼寬，彷彿還沒有個小筒兒值錢。原先，他以為拉車是他最理想的事，由拉車他可以成家立業。現在他暗暗搖頭了。不怪虎妞欺侮他，他原來不過是個連小水筒也不如的人！,請問誰欺侮他？,祥子,駱駝,虎妞,小水桶,
743,眾管家碰了釘子，一聲也不敢言語，一個個鴉雀無聲，垂手侍立。黃知府說完了話，也踱了進去。等到上燈之後，錢典史在戴升屋裡吃過了夜飯，然後戴升拿著手本進去替他回過，又出來領他到大廳西面一間小花廳裡坐下。此時錢典史恭而且敬，一個人坐在那裡，靜悄悄的，足足等了半個鐘頭才聽見靴子響。,請問錢典史足足等了多久才聽見靴子響？,半個鐘頭,一個鐘頭,一個半鐘頭,兩個鐘頭,
744,眾管家碰了釘子，一聲也不敢言語，一個個鴉雀無聲，垂手侍立。黃知府說完了話，也踱了進去。等到上燈之後，錢典史在戴升屋裡吃過了夜飯，然後戴升拿著手本進去替他回過，又出來領他到大廳西面一間小花廳裡坐下。此時錢典史恭而且敬，一個人坐在那裡，靜悄悄的，足足等了半個鐘頭才聽見靴子響。,請問小花廳在大廳的哪一面？,東面,北面,南面,西面,
745,眾管家碰了釘子，一聲也不敢言語，一個個鴉雀無聲，垂手侍立。黃知府說完了話，也踱了進去。等到上燈之後，錢典史在戴升屋裡吃過了夜飯，然後戴升拿著手本進去替他回過，又出來領他到大廳西面一間小花廳裡坐下。此時錢典史恭而且敬，一個人坐在那裡，靜悄悄的，足足等了半個鐘頭才聽見靴子響。,請問誰碰了釘子？,黃知府,眾管家,兩個委員,錢典史,
746,眾管家碰了釘子，一聲也不敢言語，一個個鴉雀無聲，垂手侍立。黃知府說完了話，也踱了進去。等到上燈之後，錢典史在戴升屋裡吃過了夜飯，然後戴升拿著手本進去替他回過，又出來領他到大廳西面一間小花廳裡坐下。此時錢典史恭而且敬，一個人坐在那裡，靜悄悄的，足足等了半個鐘頭才聽見靴子響。,請問錢典史在誰的屋裡吃過了夜飯？,黃知府,眾管家,戴升,趙溫,
747,祥子已經跑出二三十步去，可又不肯跑了，他捨不得那幾匹駱駝。他在世界上的財產，現在，只剩下了自己的一條命。就是地上的一根麻繩，他也樂意拾起來，即使沒用，還能稍微安慰他一下，至少他手中有條麻繩，不完全是空的。逃命是要緊的，可是赤裸裸的一條命有什麼用呢？他得帶走這幾匹牲口，雖然還沒想起駱駝能有什麼用處，可是總得算是幾件東西，而且是塊兒不小的東西。,請問就是地上的什麼他也樂意拾起來？,垃圾,廣告,駱駝,麻繩,
748,祥子已經跑出二三十步去，可又不肯跑了，他捨不得那幾匹駱駝。他在世界上的財產，現在，只剩下了自己的一條命。就是地上的一根麻繩，他也樂意拾起來，即使沒用，還能稍微安慰他一下，至少他手中有條麻繩，不完全是空的。逃命是要緊的，可是赤裸裸的一條命有什麼用呢？他得帶走這幾匹牲口，雖然還沒想起駱駝能有什麼用處，可是總得算是幾件東西，而且是塊兒不小的東西。,請問什麼是要緊的？,逃命,駱駝,一條命,財產,
749,祥子已經跑出二三十步去，可又不肯跑了，他捨不得那幾匹駱駝。他在世界上的財產，現在，只剩下了自己的一條命。就是地上的一根麻繩，他也樂意拾起來，即使沒用，還能稍微安慰他一下，至少他手中有條麻繩，不完全是空的。逃命是要緊的，可是赤裸裸的一條命有什麼用呢？他得帶走這幾匹牲口，雖然還沒想起駱駝能有什麼用處，可是總得算是幾件東西，而且是塊兒不小的東西。,請問祥子捨不得那幾匹什麼？,馬,牛,駱駝,羊,
750,祥子已經跑出二三十步去，可又不肯跑了，他捨不得那幾匹駱駝。他在世界上的財產，現在，只剩下了自己的一條命。就是地上的一根麻繩，他也樂意拾起來，即使沒用，還能稍微安慰他一下，至少他手中有條麻繩，不完全是空的。逃命是要緊的，可是赤裸裸的一條命有什麼用呢？他得帶走這幾匹牲口，雖然還沒想起駱駝能有什麼用處，可是總得算是幾件東西，而且是塊兒不小的東西。,請問祥子在世界上的財產只剩下了什麼？,駱駝,一條命,車子,幾條命,
751,祥子用不著說什麼，他的神氣已足表示他很佩服高媽的話。及至獨自一盤算，他覺得錢在自己手裡比什麼也穩當。不錯，這麼著是死的，錢不會下錢；可是丟不了也是真的。把這兩三個月剩下的幾塊錢——都是現洋——輕輕的拿出來，一塊一塊的翻弄，怕出響聲,請問祥子拿出幾個月剩下的錢？,一兩個月,兩三個月,三四個月,四五個月,
752,祥子用不著說什麼，他的神氣已足表示他很佩服高媽的話。及至獨自一盤算，他覺得錢在自己手裡比什麼也穩當。不錯，這麼著是死的，錢不會下錢；可是丟不了也是真的。把這兩三個月剩下的幾塊錢——都是現洋——輕輕的拿出來，一塊一塊的翻弄，怕出響聲,請問祥子很佩服誰的話？,高媽,陳媽,幾塊錢,自己,
753,祥子有點慌。他只知道騎自行車的討厭，還不曉得其中還有可怕的——既然曹先生都不敢家去，這個傢伙一定來歷不小！他跑了幾十步，便追上了那個人；故意的等著他與曹先生呢。自行車把祥子讓過去，祥子看了車上的人一眼。一眼便看明白了，偵緝隊上的。他常在茶館裡碰到隊裡的人，雖然沒說過話兒，可是曉得他們的神氣與打扮。,請問祥子不曉得騎自行車的其中還有如何的？,討厭的,可怕的,故意的,神氣的,
754,祥子有點慌。他只知道騎自行車的討厭，還不曉得其中還有可怕的——既然曹先生都不敢家去，這個傢伙一定來歷不小！他跑了幾十步，便追上了那個人；故意的等著他與曹先生呢。自行車把祥子讓過去，祥子看了車上的人一眼。一眼便看明白了，偵緝隊上的。他常在茶館裡碰到隊裡的人，雖然沒說過話兒，可是曉得他們的神氣與打扮。,請問祥子看了誰一眼？,曹先生,路人,車上的人,駱駝,
755,祥子有點慌。他只知道騎自行車的討厭，還不曉得其中還有可怕的——既然曹先生都不敢家去，這個傢伙一定來歷不小！他跑了幾十步，便追上了那個人；故意的等著他與曹先生呢。自行車把祥子讓過去，祥子看了車上的人一眼。一眼便看明白了，偵緝隊上的。他常在茶館裡碰到隊裡的人，雖然沒說過話兒，可是曉得他們的神氣與打扮。,請問祥子常在哪裡碰到隊裏的人？,餐廳,路上,自行車裡,茶館,
756,祥子的右肘很疼，半夜也沒睡著。顛算了七開八得，他覺得高媽的話有理。什麼也是假的，只有錢是真的。省錢買車；掛火當不了吃飯！想到這，來了一點平安的睡意。,請問祥子的哪裡很疼？,右肘,左肘,右腿,右膝,
